month,year,ship_mode,segment,country,city,state,category,sub_category,sales,quantity,discount,profit
January,2017,Second Class,Corporate,United States,Springfield,Missouri,Office Supplies,Supplies,4164.05,5,0.0,83.281
January,2017,Second Class,Corporate,United States,Springfield,Missouri,Furniture,Bookcases,212.94,3,0.0,53.235
January,2014,First Class,Corporate,United States,Philadelphia,Pennsylvania,Furniture,Bookcases,61.96,4,0.5,-53.2856
January,2016,Standard Class,Consumer,United States,Concord,North Carolina,Furniture,Furnishings,315.776,8,0.2,31.5776
January,2016,Standard Class,Consumer,United States,Concord,North Carolina,Office Supplies,Paper,89.568,2,0.2,32.4684
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Office Supplies,Storage,18.76,2,0.0,5.2528
January,2017,First Class,Corporate,United States,Aurora,Colorado,Office Supplies,Storage,168.62400000000002,9,0.2,14.7546
January,2017,Standard Class,Consumer,United States,Johnson City,Tennessee,Office Supplies,Envelopes,18.336,3,0.2,6.6468
January,2017,Standard Class,Consumer,United States,Johnson City,Tennessee,Office Supplies,Paper,36.288000000000004,7,0.2,12.7008
January,2017,Standard Class,Consumer,United States,Johnson City,Tennessee,Technology,Phones,111.984,2,0.2,6.999
January,2017,First Class,Corporate,United States,Aurora,Colorado,Technology,Accessories,169.06400000000002,7,0.2,-14.7931
January,2017,Standard Class,Consumer,United States,Johnson City,Tennessee,Office Supplies,Binders,5.97,5,0.7,-4.577
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Technology,Phones,67.8,4,0.0,1.3559999999999999
January,2017,Standard Class,Consumer,United States,Los Angeles,California,Office Supplies,Paper,154.9,5,0.0,69.705
January,2017,First Class,Consumer,United States,Jacksonville,North Carolina,Technology,Phones,7.92,5,0.2,0.693
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Office Supplies,Storage,67.4,5,0.0,17.524
January,2017,First Class,Consumer,United States,Jacksonville,North Carolina,Office Supplies,Envelopes,21.744,1,0.2,7.3386
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Office Supplies,Fasteners,2.52,2,0.0,0.1008
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Technology,Accessories,159.8,4,0.0,70.312
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Office Supplies,Paper,11.34,1,0.0,5.5566
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Technology,Accessories,12.12,4,0.0,2.5452
January,2017,Standard Class,Consumer,United States,Johnson City,Tennessee,Office Supplies,Binders,2.508,2,0.7,-1.8392
January,2017,Standard Class,Home Office,United States,Richmond,Indiana,Furniture,Furnishings,18.96,2,0.0,8.532
January,2014,First Class,Consumer,United States,Roswell,Georgia,Technology,Accessories,149.95,5,0.0,65.97800000000001
January,2016,First Class,Home Office,United States,New York City,New York,Office Supplies,Paper,81.98,2,0.0,40.1702
January,2016,Standard Class,Home Office,United States,Westfield,New Jersey,Office Supplies,Envelopes,52.34,2,0.0,24.5998
January,2016,Standard Class,Home Office,United States,Westfield,New Jersey,Office Supplies,Art,4.66,2,0.0,1.3514
January,2016,Standard Class,Home Office,United States,Westfield,New Jersey,Technology,Accessories,254.97,3,0.0,91.7892
January,2016,Same Day,Consumer,United States,Fairfield,Connecticut,Furniture,Tables,181.797,1,0.3,-15.5826
January,2016,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Binders,49.536,3,0.2,17.3376
January,2016,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Paper,60.12,9,0.0,28.8576
January,2016,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Envelopes,16.52,4,0.0,7.5992
January,2017,Standard Class,Home Office,United States,Los Angeles,California,Office Supplies,Art,21.4,5,0.0,6.206
January,2017,First Class,Consumer,United States,Austin,Texas,Office Supplies,Binders,32.784,4,0.8,-52.4544
January,2017,First Class,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Appliances,34.384,1,0.2,3.8682
January,2017,First Class,Consumer,United States,Austin,Texas,Office Supplies,Binders,4.276,1,0.8,-6.6278
January,2017,First Class,Consumer,United States,Austin,Texas,Technology,Accessories,47.983999999999995,2,0.2,14.3952
January,2017,First Class,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Appliances,1924.16,8,0.2,312.676
January,2017,Standard Class,Consumer,United States,Quincy,Massachusetts,Office Supplies,Paper,12.7,2,0.0,5.8420000000000005
January,2017,First Class,Consumer,United States,Austin,Texas,Technology,Accessories,62.592,8,0.2,13.3008
January,2014,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Labels,30.072,3,0.2,10.1493
January,2014,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Binders,18.588,2,0.7,-13.6312
January,2014,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,127.104,6,0.2,28.5984
January,2014,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Technology,Phones,124.2,3,0.4,-31.05
January,2016,Second Class,Consumer,United States,Los Angeles,California,Office Supplies,Binders,11.648,2,0.2,4.2224
January,2016,Second Class,Consumer,United States,Los Angeles,California,Technology,Accessories,90.57,3,0.0,11.7741
January,2017,Same Day,Corporate,United States,Los Angeles,California,Furniture,Tables,399.67199999999997,7,0.2,-14.9877
January,2017,Second Class,Consumer,United States,Jackson,Michigan,Office Supplies,Paper,56.07,7,0.0,25.2315
January,2017,Second Class,Consumer,United States,Jackson,Michigan,Furniture,Chairs,302.67,3,0.0,72.6408
January,2017,Same Day,Corporate,United States,Los Angeles,California,Furniture,Furnishings,27.92,4,0.0,8.0968
January,2017,Second Class,Consumer,United States,Jackson,Michigan,Office Supplies,Binders,5443.96,4,0.0,2504.2216
January,2015,Standard Class,Consumer,United States,Bartlett,Tennessee,Office Supplies,Supplies,88.96,8,0.2,10.008
January,2015,Standard Class,Home Office,United States,Park Ridge,Illinois,Furniture,Furnishings,254.74400000000003,7,0.6,-312.0614
January,2015,Standard Class,Corporate,United States,Lawrence,Massachusetts,Office Supplies,Art,6.68,2,0.0,2.004
January,2016,Standard Class,Home Office,United States,Concord,New Hampshire,Technology,Accessories,371.97,3,0.0,66.9546
January,2016,Standard Class,Corporate,United States,Columbus,Georgia,Technology,Accessories,316.0,4,0.0,31.6
January,2016,Standard Class,Home Office,United States,Concord,New Hampshire,Technology,Accessories,29.99,1,0.0,13.1956
January,2016,Standard Class,Home Office,United States,Concord,New Hampshire,Furniture,Furnishings,322.59,3,0.0,64.518
January,2014,Second Class,Corporate,United States,Springfield,Oregon,Office Supplies,Appliances,64.86399999999999,4,0.2,6.4864
January,2014,First Class,Consumer,United States,Scottsdale,Arizona,Furniture,Bookcases,181.47,5,0.7,-320.597
January,2014,First Class,Consumer,United States,Scottsdale,Arizona,Office Supplies,Envelopes,108.72,5,0.2,36.693000000000005
January,2014,First Class,Consumer,United States,Scottsdale,Arizona,Office Supplies,Paper,56.06399999999999,4,0.2,19.6224
January,2014,First Class,Consumer,United States,Scottsdale,Arizona,Office Supplies,Binders,32.34,10,0.7,-23.715999999999998
January,2015,Standard Class,Consumer,United States,Texas City,Texas,Furniture,Chairs,199.304,4,0.3,-8.5416
January,2015,Standard Class,Consumer,United States,Texas City,Texas,Furniture,Tables,102.43799999999999,1,0.3,-13.1706
January,2017,Second Class,Consumer,United States,Keller,Texas,Office Supplies,Labels,6.0,2,0.2,2.1
January,2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,31.968000000000004,2,0.2,6.3936
January,2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Chairs,887.2710000000001,3,0.3,-63.3765
January,2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Paper,21.695999999999998,4,0.2,7.0512
January,2017,Standard Class,Consumer,United States,Burlington,Vermont,Office Supplies,Envelopes,2.04,1,0.0,0.9588
January,2017,Standard Class,Consumer,United States,Burlington,Vermont,Office Supplies,Appliances,542.94,3,0.0,152.0232
January,2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,Technology,Phones,429.6,2,0.4,-93.08
January,2017,Standard Class,Consumer,United States,Burlington,Vermont,Office Supplies,Paper,79.92,4,0.0,37.5624
January,2017,Standard Class,Consumer,United States,Burlington,Vermont,Office Supplies,Paper,12.28,1,0.0,5.7716
January,2015,Second Class,Corporate,United States,Newark,Delaware,Office Supplies,Storage,85.52,2,0.0,22.2352
January,2015,Standard Class,Corporate,United States,Medina,Ohio,Furniture,Bookcases,452.45,5,0.5,-244.32299999999998
January,2015,Standard Class,Corporate,United States,Medina,Ohio,Technology,Machines,1188.0,9,0.7,-950.4
January,2015,Standard Class,Corporate,United States,Medina,Ohio,Technology,Phones,62.982,3,0.4,-14.6958
January,2015,Standard Class,Corporate,United States,Medina,Ohio,Office Supplies,Labels,23.68,2,0.2,8.88
January,2015,Second Class,Corporate,United States,Newark,Delaware,Office Supplies,Art,9.84,3,0.0,2.6568
January,2015,Second Class,Corporate,United States,Newark,Delaware,Office Supplies,Paper,20.04,3,0.0,9.6192
January,2015,Standard Class,Corporate,United States,Medina,Ohio,Technology,Accessories,89.584,2,0.2,4.4792
January,2016,Standard Class,Corporate,United States,Gaithersburg,Maryland,Technology,Phones,231.98,2,0.0,67.2742
January,2016,Standard Class,Corporate,United States,Gaithersburg,Maryland,Furniture,Bookcases,173.94,3,0.0,38.2668
January,2017,Second Class,Corporate,United States,Los Angeles,California,Technology,Accessories,16.59,1,0.0,5.8065
January,2017,Second Class,Consumer,United States,El Paso,Texas,Furniture,Tables,913.43,5,0.3,-169.637
January,2017,First Class,Corporate,United States,Jacksonville,North Carolina,Office Supplies,Binders,15.66,5,0.7,-12.527999999999999
January,2017,First Class,Corporate,United States,Jacksonville,North Carolina,Technology,Machines,695.7,2,0.5,-27.828000000000003
January,2017,Second Class,Consumer,United States,El Paso,Texas,Office Supplies,Art,31.744,2,0.2,3.968
January,2017,Second Class,Consumer,United States,El Paso,Texas,Office Supplies,Appliances,5.432,2,0.8,-13.58
January,2017,Second Class,Consumer,United States,El Paso,Texas,Office Supplies,Storage,372.144,3,0.2,27.9108
January,2017,First Class,Corporate,United States,Jacksonville,North Carolina,Office Supplies,Binders,28.854,6,0.7,-21.1596
January,2014,Standard Class,Consumer,United States,Jonesboro,Arkansas,Office Supplies,Envelopes,23.34,3,0.0,10.9698
January,2014,Standard Class,Consumer,United States,Jonesboro,Arkansas,Technology,Phones,699.93,7,0.0,181.9818
January,2014,Standard Class,Consumer,United States,Jonesboro,Arkansas,Office Supplies,Art,22.96,7,0.0,6.6584
January,2014,Standard Class,Consumer,United States,Jonesboro,Arkansas,Office Supplies,Art,6.63,3,0.0,1.7901
January,2014,Standard Class,Consumer,United States,Jonesboro,Arkansas,Furniture,Furnishings,38.6,4,0.0,11.58
January,2014,Standard Class,Consumer,United States,Jonesboro,Arkansas,Furniture,Chairs,1067.94,3,0.0,224.2674
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Office Supplies,Binders,29.7,5,0.0,13.365
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Office Supplies,Storage,66.58,2,0.0,15.9792
January,2014,Standard Class,Consumer,United States,Los Angeles,California,Office Supplies,Paper,19.36,2,0.0,9.2928
January,2014,Standard Class,Corporate,United States,Smyrna,Tennessee,Office Supplies,Binders,67.194,1,0.7,-51.5154
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Office Supplies,Storage,13.98,1,0.0,4.0542
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Furniture,Furnishings,272.94,3,0.0,30.0234
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Office Supplies,Binders,19.05,5,0.0,8.9535
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Office Supplies,Appliances,247.71599999999998,4,0.1,93.5816
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Office Supplies,Art,43.92,3,0.0,12.7368
January,2014,Standard Class,Consumer,United States,Los Angeles,California,Furniture,Furnishings,19.3,2,0.0,5.79
January,2014,Standard Class,Consumer,United States,Westland,Michigan,Furniture,Furnishings,14.73,3,0.0,4.8609
January,2017,First Class,Consumer,United States,Chicago,Illinois,Office Supplies,Labels,11.52,5,0.2,4.176
January,2017,Standard Class,Consumer,United States,Los Angeles,California,Technology,Phones,160.776,3,0.2,10.0485
January,2017,Second Class,Corporate,United States,New York City,New York,Furniture,Chairs,207.84599999999998,3,0.1,2.3094
January,2017,Standard Class,Consumer,United States,San Francisco,California,Technology,Phones,359.976,3,0.2,130.4913
January,2017,Standard Class,Consumer,United States,Waterbury,Connecticut,Office Supplies,Art,3.52,2,0.0,1.0208
January,2017,Standard Class,Consumer,United States,San Francisco,California,Office Supplies,Art,24.2,5,0.0,7.986000000000001
January,2014,Second Class,Consumer,United States,Miami,Florida,Furniture,Furnishings,25.248,3,0.2,4.1028
January,2016,Second Class,Consumer,United States,San Diego,California,Furniture,Chairs,153.56799999999998,2,0.2,-5.7588
January,2016,Second Class,Consumer,United States,San Diego,California,Furniture,Chairs,1013.488,7,0.2,76.0116
January,2017,Standard Class,Home Office,United States,Jackson,Michigan,Technology,Machines,350.973,3,0.1,152.0883
January,2017,Standard Class,Home Office,United States,Jackson,Michigan,Office Supplies,Binders,89.52,4,0.0,42.0744
January,2017,Standard Class,Consumer,United States,Aurora,Illinois,Office Supplies,Envelopes,268.57599999999996,4,0.2,90.6444
January,2017,Standard Class,Home Office,United States,Jackson,Michigan,Technology,Phones,164.99,1,0.0,49.497
January,2017,Standard Class,Home Office,United States,Seattle,Washington,Furniture,Bookcases,84.98,1,0.0,18.6956
January,2017,Standard Class,Home Office,United States,Charlotte,North Carolina,Office Supplies,Storage,348.208,7,0.2,30.4682
January,2017,Standard Class,Home Office,United States,Seattle,Washington,Office Supplies,Binders,27.936,4,0.2,9.4284
January,2017,Standard Class,Home Office,United States,Charlotte,North Carolina,Office Supplies,Binders,35.784,7,0.7,-28.6272
January,2017,Standard Class,Home Office,United States,Jackson,Michigan,Technology,Accessories,619.95,5,0.0,111.59100000000001
January,2017,Standard Class,Home Office,United States,Jackson,Michigan,Office Supplies,Binders,14.4,5,0.0,7.056
January,2017,Standard Class,Home Office,United States,Seattle,Washington,Office Supplies,Storage,242.94,3,0.0,9.7176
January,2017,Standard Class,Home Office,United States,Seattle,Washington,Technology,Accessories,179.97,3,0.0,86.3856
January,2017,Standard Class,Home Office,United States,Seattle,Washington,Office Supplies,Binders,99.696,6,0.2,33.6474
January,2017,Standard Class,Home Office,United States,Seattle,Washington,Office Supplies,Binders,18.72,5,0.2,6.5520000000000005
January,2016,Standard Class,Consumer,United States,Fayetteville,North Carolina,Office Supplies,Appliances,64.86399999999999,4,0.2,6.4864
January,2016,Standard Class,Consumer,United States,Fayetteville,North Carolina,Furniture,Bookcases,451.13599999999997,4,0.2,-67.6704
January,2016,Standard Class,Consumer,United States,Fayetteville,North Carolina,Furniture,Furnishings,14.272,8,0.2,4.2816
January,2016,Standard Class,Corporate,United States,Seattle,Washington,Furniture,Furnishings,109.9,5,0.0,37.366
January,2016,Standard Class,Consumer,United States,Morristown,New Jersey,Office Supplies,Fasteners,7.56,6,0.0,0.3024
January,2016,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Labels,20.65,5,0.0,9.499
January,2016,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Labels,44.4,3,0.0,22.2
January,2016,Standard Class,Consumer,United States,Seattle,Washington,Office Supplies,Paper,12.96,2,0.0,6.2208
January,2016,Standard Class,Home Office,United States,Cleveland,Ohio,Technology,Accessories,55.176,3,0.2,15.8631
January,2016,Standard Class,Home Office,United States,Cleveland,Ohio,Technology,Phones,110.376,4,0.4,-20.2356
January,2016,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Binders,26.336,4,0.2,9.2176
January,2017,Second Class,Corporate,United States,Chicago,Illinois,Office Supplies,Art,7.872000000000001,3,0.2,0.8856
January,2017,Second Class,Corporate,United States,Chicago,Illinois,Office Supplies,Fasteners,15.12,5,0.2,4.914
January,2017,Standard Class,Home Office,United States,Great Falls,Montana,Office Supplies,Storage,1126.02,3,0.0,56.301
January,2017,Standard Class,Home Office,United States,Great Falls,Montana,Technology,Copiers,2999.95,5,0.0,1379.977
January,2017,Standard Class,Home Office,United States,Great Falls,Montana,Office Supplies,Paper,11.96,2,0.0,5.382000000000001
January,2017,Standard Class,Home Office,United States,Great Falls,Montana,Office Supplies,Storage,51.45,3,0.0,13.8915
January,2014,Standard Class,Consumer,United States,Lafayette,Indiana,Office Supplies,Fasteners,5.94,3,0.0,0.0
January,2014,Standard Class,Consumer,United States,Las Vegas,Nevada,Office Supplies,Paper,40.08,6,0.0,19.2384
January,2015,Standard Class,Home Office,United States,Bozeman,Montana,Office Supplies,Paper,29.04,3,0.0,13.9392
January,2015,Standard Class,Home Office,United States,Bozeman,Montana,Office Supplies,Labels,14.62,2,0.0,6.8714
January,2016,Standard Class,Corporate,United States,Burlington,Vermont,Office Supplies,Art,8.04,6,0.0,2.7336
January,2016,Standard Class,Consumer,United States,Los Angeles,California,Furniture,Furnishings,59.99,7,0.0,21.5964
January,2016,Standard Class,Corporate,United States,Burlington,Vermont,Office Supplies,Storage,1564.29,13,0.0,406.7154
January,2016,Standard Class,Corporate,United States,Burlington,Vermont,Technology,Accessories,99.98,2,0.0,42.9914
January,2017,Standard Class,Home Office,United States,Tucson,Arizona,Technology,Accessories,95.984,2,0.2,11.998
January,2017,Standard Class,Corporate,United States,Seattle,Washington,Office Supplies,Paper,6.48,1,0.0,3.1104
January,2017,Standard Class,Corporate,United States,Seattle,Washington,Technology,Phones,86.352,6,0.2,8.6352
January,2017,Standard Class,Home Office,United States,Tucson,Arizona,Office Supplies,Binders,4.938,2,0.7,-3.6212
January,2017,Standard Class,Corporate,United States,Seattle,Washington,Office Supplies,Binders,19.68,5,0.2,6.888
January,2017,First Class,Corporate,United States,Detroit,Michigan,Furniture,Tables,210.98,2,0.0,21.098000000000003
January,2017,Standard Class,Corporate,United States,Seattle,Washington,Office Supplies,Paper,25.92,4,0.0,12.4416
January,2015,Standard Class,Home Office,United States,West Palm Beach,Florida,Office Supplies,Art,13.12,5,0.2,2.1319999999999997
January,2016,Second Class,Corporate,United States,Gulfport,Mississippi,Office Supplies,Binders,31.36,4,0.0,15.68
January,2017,Standard Class,Corporate,United States,San Jose,California,Office Supplies,Appliances,25.86,3,0.0,6.7236
January,2017,Standard Class,Corporate,United States,San Jose,California,Technology,Phones,110.352,3,0.2,8.2764
January,2017,Standard Class,Corporate,United States,San Jose,California,Office Supplies,Binders,276.784,2,0.2,89.9548
January,2017,Standard Class,Consumer,United States,Smyrna,Georgia,Office Supplies,Fasteners,5.67,3,0.0,0.1134
January,2016,Second Class,Corporate,United States,New York City,New York,Office Supplies,Binders,43.12,5,0.2,15.092
January,2016,Second Class,Corporate,United States,New York City,New York,Furniture,Tables,313.722,3,0.4,-99.3453
January,2016,Second Class,Corporate,United States,New York City,New York,Furniture,Furnishings,45.98,1,0.0,7.8166
January,2016,First Class,Corporate,United States,Plainfield,New Jersey,Office Supplies,Paper,18.0,5,0.0,8.28
January,2016,Second Class,Corporate,United States,New York City,New York,Office Supplies,Storage,428.68,7,0.0,0.0
January,2016,First Class,Corporate,United States,Plainfield,New Jersey,Office Supplies,Art,9.21,3,0.0,2.3025
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Furniture,Furnishings,62.82,3,0.0,30.7818
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Office Supplies,Storage,489.92,8,0.0,0.0
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Office Supplies,Paper,19.44,3,0.0,9.3312
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Office Supplies,Paper,16.68,2,0.0,8.34
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Technology,Phones,155.35,13,0.0,0.0
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Furniture,Furnishings,12.42,3,0.0,4.4712
January,2014,Standard Class,Home Office,United States,Alexandria,Virginia,Technology,Phones,187.98,2,0.0,52.6344
January,2014,First Class,Corporate,United States,Rapid City,South Dakota,Office Supplies,Binders,10.68,2,0.0,5.0196
January,2014,First Class,Corporate,United States,Rapid City,South Dakota,Furniture,Bookcases,141.96,2,0.0,39.7488
January,2015,Standard Class,Corporate,United States,Moreno Valley,California,Office Supplies,Paper,182.72,8,0.0,84.0512
January,2017,Standard Class,Consumer,United States,Columbus,Georgia,Furniture,Furnishings,62.72,4,0.0,24.4608
January,2017,First Class,Consumer,United States,Houston,Texas,Office Supplies,Storage,18.16,2,0.2,1.8159999999999998
January,2017,Standard Class,Consumer,United States,San Francisco,California,Office Supplies,Fasteners,11.84,8,0.0,5.6832
January,2017,Second Class,Corporate,United States,Hoover,Alabama,Office Supplies,Binders,7.16,2,0.0,3.4368
January,2017,Second Class,Corporate,United States,Hoover,Alabama,Office Supplies,Art,15.47,7,0.0,4.1769
January,2017,Standard Class,Consumer,United States,Columbus,Georgia,Technology,Phones,2939.93,7,0.0,764.3818
January,2014,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Art,36.44,4,0.0,12.0252
January,2014,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Storage,57.23,1,0.0,14.3075
January,2014,Standard Class,Consumer,United States,San Diego,California,Furniture,Tables,333.0,3,0.2,-16.65
January,2015,Second Class,Consumer,United States,Cleveland,Ohio,Technology,Phones,155.37,1,0.4,-36.253
January,2015,Second Class,Consumer,United States,Cleveland,Ohio,Technology,Phones,431.976,4,0.4,-100.7944
January,2015,Second Class,Consumer,United States,Cleveland,Ohio,Furniture,Chairs,181.986,2,0.3,-54.5958
January,2015,First Class,Consumer,United States,Los Angeles,California,Furniture,Chairs,2803.92,5,0.2,0.0
January,2017,Second Class,Consumer,United States,Kent,Ohio,Technology,Phones,107.98200000000001,3,0.4,-26.9955
January,2017,Standard Class,Consumer,United States,New York City,New York,Technology,Phones,137.94,3,0.0,35.8644
January,2017,Second Class,Consumer,United States,Kent,Ohio,Office Supplies,Art,14.015999999999998,3,0.2,1.7519999999999998
January,2017,Second Class,Consumer,United States,Kent,Ohio,Technology,Accessories,71.976,3,0.2,-8.997
January,2014,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Binders,3.928,1,0.2,1.3257
January,2015,Second Class,Consumer,United States,Concord,North Carolina,Furniture,Tables,4297.644,13,0.4,-1862.3124
January,2016,Second Class,Corporate,United States,Los Angeles,California,Office Supplies,Art,39.68,2,0.0,10.3168
